stop,lattitude,longitude
Małopolska (Ośrodek dla niewidomych),51.13745748,16.89888581
Kowalska 56,51.13647537,17.09740219
Opatowicka nr 59,51.0950859,17.115921
Muchobór Wielki (Roślinna),51.10176043,16.94397772
Odolanowska,51.16599,17.129552
Odrodzenia Polski,51.16407293,17.12582132
TYNIECKA (pętla),51.07596159,16.95289375
Tyniecka,51.07218,16.958427
Serbska (C.K. Agora),51.1338962,17.0196455
MOKRY DWÓR,51.071173,17.123951
TRESTNO (pętla),51.07577133,17.14536285
Starodworska,51.07381,17.108553
Skierniewicka,51.07765014,17.0144646
Jarzębinowa,51.08129657,17.01656596
IWINY - pętla,51.04231,17.072276
Wyścigowa,51.06970634,17.01205044
Iwiny - Kolejowa,51.04043197,17.07521438
Hippiczna,51.06794444,17.00885402
BLIZANOWICE,51.07011,17.157233
KOSZAROWA (Uniwersytet),51.14049516,17.06847989
Narodowe Forum Muzyki,51.107899,17.026294
Jarnołtowska (Samotworska),51.12008386,16.85024756
Samotworska,51.11824079,16.84750134
Biskupice Podgórne LG Innotek,51.01838302,16.88883209
Biskupice Podgórne LG Chem,51.015922,16.886978
Partynice,51.06154956,16.99764462
Bulwar Dedala,51.12678746,16.96299853
Sudecka,51.08566549,17.01660936
Psie Pole (Rondo Lotników Polskich),51.14714,17.114363
Psary - Szkoła,51.186705,17.031851
Krępice,51.153186,16.816681
Rondo Obrońców Grodna,51.16475786,17.02767914
Strachowskiego,51.0582375,17.01565182
Bzowa (Centrum Zajezdnia),51.09750864,16.99130994
Krucza (Mielecka),51.09341211,17.00376531
Godebskiego (AWF Wrocław),51.11377088,17.09846129
Kromera (Czajkowskiego),51.13557581,17.06907505
Wilkszyn (pętla),51.191886,16.862751
Ołtaszyn,51.05680038,17.02227718
Wilkszyn - Miłoszyn,51.1827212,16.8725008
GAŁÓW (pętla),51.11189,16.810629
Pisarzowice - Odrzańska,51.2052389,16.8525611
Pisarzowice - Graniczna,51.196823,16.8549944
Rymarska,51.07935,16.991641
Krasińskiego,51.10585896,17.04334082
Kurpiów,51.05488165,17.02661079
DWORZEC GŁÓWNY,51.09918778,17.03433441
Dworzec Główny (Stawowa),51.09941,17.033499
Słonimskiego,51.130614,17.045078
Zakładowa,51.12991454,17.03836452
Tymiankowa,51.17578884,16.99366911
Cynamonowa,51.17602669,16.9983034
Waniliowa,51.178347,16.999972
Gospodarska,51.11869211,17.12298363
Kutrzeby,51.05183322,17.01882927
Konduktorska,51.065565,17.055056
Armii Krajowej (Bogedaina),51.08534694,17.06528881
pl. Srebrny,51.098488,16.996146
Kadłubka,51.07622344,16.96886864
Stanki,51.07632585,16.97206692
Bukowskiego,51.076584,16.978213
DWORCOWA,51.10027773,17.03920149
Weigla (Szpital),51.07644893,17.01767649
Łozina - Nowego Osiedla II,51.23320247,17.16504378
Łozina - Nowego Osiedla I,51.2334363,17.17196466
Piecowice,51.144326,17.21777185
Mirków - Jagiellońska,51.16812908,17.16457479
Mirków - Sportowa,51.16365614,17.15710423
Szczodre - pętla,51.19448526,17.18273821
Długołęka - Parkowa/skrzy.,51.17951003,17.19039061
Długołęka - Kasztanowa,51.17769309,17.18807992
Długołęka - Wiejska,51.17477041,17.1772107
Wilczyce - Szkoła,51.12963391,17.15202804
Wilczyce - Borowa,51.13006617,17.15062076
Wilczyce - Dworska,51.12928849,17.15494185
Kiełczów - cmentarz,51.13711789,17.17723723
Kiełczów - Biedronka,51.14267753,17.16656505
Kiełczów - Ładna,51.14361725,17.16000643
Januszkowice - Wrocławska,51.22121378,17.23887904
Dobroszów Oleśnicki,51.21637076,17.22870806
Długołęka - SELGROS pętla,51.18310967,17.19859029
Kamień - Bursztynowa,51.16880359,17.21338331
Kamień - skrzy.,51.1668643,17.21933497
Raków II,51.16903423,17.27754755
Borowa - stacja kolejowa,51.18510826,17.27998281
Borowa - skrz.,51.1945381,17.2799901
Byków - Ogrodowa,51.19203898,17.24001113
Oleśniczka - skrzy.,51.14930245,17.28248046
Raków IV,51.15591487,17.27496993
Kiełczów - pętla (Plac Jana Pawła),51.13956498,17.17901502
Kiełczów - pętla/Wrocławska,51.13942098,17.18003443
Raków - skrzy.,51.16764355,17.27609786
Siedlec - Wrocławska/sklep,51.23108806,17.11584332
Siedlec - Wrocławska/szkoła,51.23025225,17.11484443
Pasikurowice - Energetyczna,51.21400199,17.10984551
Pasikurowice - skrzy. Malinowa,51.20953171,17.10393604
Pasikurowice - cmentarz,51.20432506,17.10098225
Ramiszów,51.1887837,17.10154452
Domaszczyn Kościół,51.18806857,17.1647516
Domaszczyn - skrzy.,51.1888967,17.15123848
Domaszczyn -Trzebnicka,51.19622836,17.15209165
Michałowice Skrzyżowanie,51.23604219,17.21988123
Łosice - plac zabaw,51.2166976,17.20389775
Łosice,51.21674117,17.20518001
Tokary - centrum,51.23312007,17.14049559
Bukowina - skrzy.,51.20487685,17.15322285
Krakowiany - skrzy.,51.26396505,17.19024275
Jaksonowice - skrzy.,51.24956309,17.24524399
Długołęka Urząd Gminy,51.1761828,17.20140973
Długołęka - Nowy Urząd,51.17362393,17.20243678
Kamień Diamentowa,51.167354,17.225249
Domaszczyn Wrocławska sklep,51.19004727,17.17085925
Brzezia Łąka - Wrocławska,51.12347136,17.24566591
Raków I,51.17007924,17.27768878
Byków - Jaśminowa,51.19231209,17.24742866
Wilczyce Wilczycka Stary Młyn,51.12286947,17.15491529
Wilczyce Wilczycka Clarena,51.11582994,17.17106983
Raków - osiedle,51.16682556,17.27031642
Raków III,51.15834663,17.27291054
Zaprężyn - skrzy.,51.25341439,17.20650553
Kępa - skrzy.,51.24100069,17.19553935
Godzieszowa (na wys. nr 8),51.23849713,17.12815367
Łozina - Wrocławska (na wys. nr 18),51.23001156,17.17257964
Łozina - kościół,51.23222324,17.17635536
Łozina - skrzy.,51.23243976,17.17529152
Łozina - Milicka/poczta,51.23335056,17.1776437
Łozina - Milicka/szkoła,51.23485211,17.18123834
Kiełczów - Sosnowa,51.14364876,17.15865851
Domaszczyn Stawowa,51.18892249,17.15046502
Pruszowice,51.18862528,17.13417885
Siedlec - stacja,51.23456424,17.12128629
Łozina Cmentarz,51.22845706,17.1805194
Brzezia Łąka - skrzy. Główna,51.12319596,17.26323708
Brzezia Łąka Główna,51.12254252,17.26496862
Kiełczów - WODROL,51.13513467,17.1758657
Pasikurowice - Wrocławska (na wys. nr 14),51.21540301,17.11109103
Siedlec - skrzy. Osiedlowa,51.23404976,17.12148102
Domaszczyn Wrocławska Skrzyżowanie,51.18787469,17.15324561
Jaksonowice (na wys. bud 27),51.24445935,17.24167971
Januszkowice - skrzy. Kępa,51.23272027,17.23653591
Kwiatkowskiego,51.05863952,16.95463943
Stępin - kościół,51.2134415,17.2855453
Robotnicza,51.10956766,17.00828923
Stanisławowska (W.K. Formaty),51.09683833,16.94684781
Działkowa,51.07775343,17.03382848
Perzowa,51.1772366,16.99088974
Maślicka (Osiedle),51.14749243,16.94773919
Zaolziańska,51.09776568,17.02568771
Rodła,51.12479493,16.86353106
Kominiarska (plac sportowy),51.17507239,17.01135744
Fieldorfa,51.14652868,16.90804212
GIEŁDOWA (Centrum Hurtu),51.0682,16.969337
Kajdasza,51.053804,17.05802
DW. ŚWIEBODZKI,51.10832,17.01702
Jasińskiej,51.1208448,16.87663945
Jerzmanowska nr 17,51.127417,16.901809
Jerzmanowska nr 9,51.12608266,16.90989177
rondo Św. Ojca Pio,51.05953185,17.00626127
Grota-Roweckiego,51.05064201,17.03040244
8 Maja,51.1135437,17.091098
Racławicka (szkoła),51.08468135,17.00695047
Gajowicka (szkoła),51.08460418,17.00381203
Stabłowicka,51.17034,16.901628
KARŁOWICE,51.13425317,17.03714799
Awicenny,51.08833411,16.95238558
ŚLAZOWA,51.15259932,16.99609657
KMINKOWA,51.179699,17.006034
ZWYCIĘSKA,51.05943,17.01098
Lawendowa,51.169722,17.000487
Godzieszowa - transformator,51.24156209,17.13097446
Brzezia Łąka Główna pętla,51.12172239,17.27217965
Hubska (Dawida),51.093049,17.042897
Os. Przyjaźni,51.06922281,16.99666027
Lutynia I,51.135712,16.771781
Lutynia - Kolonia,51.131753,16.75605
Radakowice - Świetlica,51.129126,16.743239
Łowęcice - Staw,51.121501,16.740467
Lutynia - Straż,51.134988,16.783095
Królewiecka (Staw),51.154467,16.924052
Borowska (Szpital),51.07472533,17.03254813
Milicka,51.152347,17.043469
LITEWSKA,51.14232537,17.127874
Leśnica - Hermes,51.14609505,16.86569237
Hallera,51.08681537,17.01291053
Bardzka,51.08277944,17.05080816
pl. Daniłowskiego,51.13852292,17.05908537
Chłodna,51.07498635,16.99683129
Kolumba,51.11410084,17.11707984
Sowia,51.07379262,17.00184494
ŻAR,51.150195,16.833785
Biskupice Podgórne LG Electronics,51.024387,16.890707
Maślice Małe (Brodnicka),51.15293057,16.94011137
Rędzińska (Cmentarz),51.14911173,16.94531084
Modlińska,51.0816957,17.000632
Królewiecka (Park),51.14821678,16.93077497
RACŁAWICKA,51.077395,16.983938
Wawrzyniaka,51.07658637,16.9968549
Wróblowice,51.158314,16.785521
Błonie,51.158725,16.74746
Źródła,51.159681,16.724852
Żurawiniec,51.176194,16.811808
Lubiatów,51.225539,16.695853
Zabór Mały,51.219213,16.703243
Zabór Wielki,51.21228,16.729401
Gąsiorów,51.24255187,16.7406247
Morelowskiego,51.06968052,16.96895221
Białków,51.21510479,16.76535882
Klęka,51.20861669,16.7499646
Miękinia - Urząd Gminy,51.19386776,16.73806496
Miękinia - stacja PKP,51.18825506,16.7356126
Miękinia Cegielnia,51.188315,16.724634
Kadłub NŻ,51.182951,16.704586
Kadłub wieś,51.17441596,16.69663098
Brzezinka Średzka - PKP,51.219516,16.836333
Wrocławski Park Przemysłowy,51.11256668,16.99423154
Krępice - Wrocławska,51.163011,16.810795
Wojnowice - Główna,51.201404,16.795843
Czerna,51.225238,16.799962
Wilkostów,51.216012,16.805365
Księginice - skrzyż. Warzyna,51.24347312,16.76557357
Księginice P&R,51.2423574,16.762288
Miękinia - pętla,51.193844,16.739568
Brzezia Łąka-skrzy.Orzechowa,51.123558,17.255425
Brzezia Łąka-skrzy.Sportowa,51.123613,17.255524
Mrozów - Świetlica,51.18563329,16.79068277
Mrozów - Wyzwolenia,51.188202,16.786337
Kolbuszowska (Stadion),51.09402385,16.99728754
Piołunowa,51.122669,16.87983
Kaczorowskiego,51.12626516,16.87994153
Osiniecka,51.121863,16.891437
Kolejowa,51.103125,17.016701
Jerzmanowo (Cmentarz II),51.12319263,16.88278896
Jerzmanowo (Cmentarz I),51.12362299,16.88379955
Jerzmanowo (Cmentarz),51.12526194,16.88793033
Malinowskiego,51.062347,17.055188
PORT LOTNICZY,51.10935597,16.88238906
Długołęka-Parkowa skrzy. Konopnicka,51.182839,17.188943
Szczodre-Trzebnicka (na wys. nr 3a),51.185657,17.186179
Biskupice Podgórne Dongseo/Dong Yang,51.020778,16.896296
Biskupice Podgórne LG Chem Energy I,51.017233,16.880546
Wapienna,51.086867,17.042927
Grzybowa,51.15895,16.853214
POPOWICE (Stacja kolejowa),51.125678,17.001904
Ścinawska,51.118848,17.007613
Komuny Paryskiej (szkoła),51.10257931,17.04464708
Maślicka (Staw),51.156132,16.935818
Cesarzowice skrz.,51.062599,16.92358
Krzeptowska,51.12029561,16.85582887
Widna,51.08626997,17.04487696
Buforowa-Rondo,51.07045608,17.0539575
Jagodzińska,51.05871295,17.05649988
Vivaldiego,51.04942078,17.05944212
Arachidowa,51.15451186,16.89774018
Aleja Architektów,51.13892608,16.92885963
Olbrachtowska,51.152698,16.904995
Stoszowska,51.15141838,16.91095644
Pęgowska,51.196291,16.978707
Zajączkowska,51.189116,16.978889
Kominiarska,51.169905,16.997678
Lutynia Centrum,51.135008,16.7834535
Księginice ul. Sportowa,51.239133,16.761698
Brzezina - ul. Chrobrego,51.201455,16.8349673
Ferma - stadnina koni,51.1180276,16.8253587
Gałów Przedszkole,51.111809,16.816682
Brzezinka Średzka - ul. Główna,51.2158882,16.836902
Gałów przy posesji nr 2,51.111877,16.816708
Lutynia Osiedle ul. Wschodnia,51.138206,16.796254
Wróblowice Innowacyjna,51.153127,16.814639
Głoska - ul. Średzka,51.239885,16.721478
Lenartowice przy posesji nr 11a,51.243971,16.799701
Prężyce przy posesji nr 22,51.238238,16.818722
Gosławice - przejazd PKP,51.223759,16.826119
Kiełczów - Akacjowa,51.138366,17.193305
Awicenny (Stacja kolejowa),51.091423,16.950515
Brzezinka Średzka - ul. Parkowa,51.216198,16.825134
Dolnośląska Szkoła Wyższa,51.112237,16.989922
Szymanów (Widawska),51.190942,17.027837
Zagłębiowska,51.07275516,17.08914075
Brochowska,51.06901248,17.09480413
BRZEZINA (pętla),51.2031854,16.826457
Uniwersytet Wrocławski,51.113719,17.03226
Kiełczówek - Sielska Zagroda,51.12373472,17.17532225
Długołęka - Broniewskiego (na wys. nr 11),51.176577,17.191492
Kamień - skrzy. Rubinowa,51.164214,17.218428
Kamień - skrzy. Diamentowa,51.166527,17.219976
Kamień - skrzy. Kryształowa,51.163556,17.215341
Dobroszów-skrzy. Węgierska,51.212527,17.226101
Trestno - świetlica,51.081634,17.145597
Trestno - kościół,51.080184,17.144953
Strzegomska (Muzeum Współczesne),51.112458,17.005204
Księska,51.07639388,17.09019786
Mokry Dwór - Starodworska,51.072222,17.116998
Iwiny - rondo,51.044606,17.060846
Iwiny - Kościuszki 21,51.04100036,17.07472229
Berenta,51.134583,17.05926
Samotwór - Leśna,51.10296644,16.83125716
Zabrodzie - pętla,51.05678879,16.94541198
Bielany Wrocławskie - Kwiatowa,51.032471,16.967816
Bielany Wrocławskie - Kościół,51.04007248,16.96906153
Ślęza - autostrada,51.04292743,16.99112337
Bielany Wrocławskie - skrzyżowanie,51.03909175,16.97094031
Ślęza - skrzyżowanie,51.0374831,16.98597838
Bielany Wrocławskie - Makro,51.04667396,16.97036927
Bielany Wrocławskie - Boczna,51.03737682,16.96816056
POŚWIĘCKA (Ośrodek zdrowia),51.15649944,17.03209808
Wysoka - Radosna,51.04872555,16.99995216
Bielany Wrocławskie - PKP,51.03757296,16.97735356
Wysoka - Chabrowa,51.04734,17.006489
Wysoka - osiedle,51.05101776,17.00189018
Gazowa,51.07828273,17.06885171
Ślęza - Dębowa,51.03911972,16.98682975
Ślęza - Szyszkowa,51.0393486,16.98706054
Kasprowicza,51.137338,17.052893
Węgrów (na wys. nr 7),51.264946,17.220334
Skała - wieś,51.25944976,17.23414903
Kępa (na wys. nr 36),51.24043927,17.20006945
Kiełczówek - skrzy. Imbirowa,51.11949041,17.17921285
Wilczyce - Wrocławska (na wys. nr 1F),51.13176789,17.14584939
Psary - Wolności,51.186026,17.029555
pl. Wyzwolenia,51.141773,16.99168
Fabryczna,51.112386,16.983487
Otyńska,51.112448,16.977959
ŚWINIARY,51.199095,16.974889
Pietrzykowice - Wrocławska/Stawowa,51.05552354,16.88244103
Mokronos Dolny - Parkowa/Stawowa,51.07062,16.938184
Jaszkotle - kościół,51.057105,16.901841
Pietrzykowice - zakład,51.04804853,16.88169217
KRZYŻANOWICE,51.17409242,17.04887768
Wiaduktowa,51.07521305,17.07640349
Topolowa,51.06946513,17.08041925
BROCHÓW (Stacja kolejowa),51.06360482,17.08374373
SZYMANÓW,51.1941474,17.01884661
Śliczna,51.08508643,17.03498376
pl. Orląt Lwowskich,51.10686141,17.02125589
Zielińskiego,51.098522,17.02050515
Piłsudskiego,51.10182174,17.02475991
KŁOKOCZYCE,51.15696053,17.09628151
Świstackiego,51.09900544,17.05013442
Rakowiecka,51.09710379,17.06767258
Na Grobli,51.10147358,17.06736263
Opatowicka nr 85,51.09515536,17.12302758
Międzyrzecka,51.09436249,17.08236018
Nowy Dom,51.09340204,17.10706553
Bierdzany,51.09171676,17.09261703
OPATOWICE,51.09483363,17.1292184
Malwowa,51.16692787,17.10998542
Poczta Główna,51.1078565,17.04563742
ZAKRZÓW,51.1624766,17.12512042
Okrzei,51.10642824,17.09846396
Partyzantów,51.10631317,17.09207313
Bacciarellego,51.10543867,17.11165182
Swojczyce,51.1145818,17.12881622
Monopolowa,51.11538529,17.11163429
Libelta,51.10945916,17.10841757
Miłoszycka,51.11694191,17.1262475
Zagrodnicza,51.10673046,17.14323522
Smocza,51.10335599,17.15474216
Strumykowa,51.10140931,17.15771109
Ceglana,51.12108913,17.12084239
Śniadeckich,51.11978379,17.07746295
Zacisze,51.12435183,17.07782182
Dolnobrzeska,51.15501757,16.85941441
Pola,51.13671695,17.04317468
Redycka,51.1486843,17.0755699
Różanka,51.13939941,17.02111603
Las Osobowicki,51.14781589,16.98421285
Jarocińska,51.14192034,16.99060405
OSOBOWICKA (Cmentarz),51.13545586,17.0042563
Paprotna,51.14775215,17.02053929
Irysowa,51.1506472,17.01789533
Ostowa,51.16219634,17.00336693
LIPA PIOTROWSKA,51.17274893,16.99508019
Lekarska,51.16043099,17.02736557
Żmigrodzka (Obwodnica),51.15433667,17.02810627
Krzelowska,51.17746152,16.87860036
Widawa,51.17530737,17.02277559
Jutrosińska,51.14636193,17.04188263
Ługowa,51.15877896,17.04443946
Kątowa,51.15619424,17.04438343
POLANOWICE,51.16226577,17.04579925
Zielna,51.14511355,17.1072601
Kopańskiego,51.15453338,17.11896705
Azaliowa,51.16417141,17.1119364
Marszowice,51.16686502,16.89012427
Piwnika - Ponurego,51.14950542,17.11105232
Królewska,51.15558313,17.12901857
Bojanowska,51.16512925,16.88135829
KIEŁCZOWSKA (LZN),51.14658034,17.12473187
Kiełczowska,51.14552316,17.13706342
Kowieńska,51.14293436,17.13440983
Gorlicka,51.1438095,17.11937899
Palacha,51.14049945,17.12631935
Polkowicka,51.15526292,16.87306982
Kiełczów - osiedle,51.1325442,17.17250844
KUŹNIKI (Stacja kolejowa),51.12621515,16.95508704
Przybyły,51.10898466,16.91713142
Wolska,51.146661,16.869355
Mokra,51.17146013,16.83774388
Jędrzejowska,51.15836473,16.91688767
Park Stabłowicki,51.15967745,16.89369002
Stabłowice,51.15567016,16.89009702
Ciechocińska,51.152764,16.884055
Śnieżna,51.14968428,16.87935804
Zajezdnia Obornicka,51.14873744,17.02106859
Malinowa,51.06671774,17.01055621
PRACZE ODRZAŃSKIE (Stacja kolejowa),51.1713957,16.9024931
Kowale (Stacja kolejowa),51.13393676,17.10221243
Mikołowska,51.11175155,17.1364994
STABŁOWICKA (Ośrodek zdrowia),51.16683326,16.89859871
Oboźna,51.05829838,17.03259791
Śliwowa,51.15490008,16.93899342
Chwałkowska,51.1597972,16.91014067
Warmińska,51.14647483,16.94019983
Arena,51.09502826,17.02726149
Kowalska,51.12901131,17.11362994
